TipusCasData,RegioSanitariaCodi,RegioSanitariaDescripcio,EdatRang,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos,date
15/05/2020,6400,Girona,50-59,0,Home,Sospitós,24,2020-05-15
15/05/2020,7803,Barcelona Ciutat,70-79,0,Home,Sospitós,47,2020-05-15
15/05/2020,7803,Barcelona Ciutat,10-19,0,Home,Sospitós,21,2020-05-15
15/05/2020,6700,Catalunya Central,10-19,1,Dona,Sospitós,5,2020-05-15
15/05/2020,7801,Metropolità Sud,20-29,0,Home,Positiu,1,2020-05-15
15/05/2020,7100,Alt Pirineu i Aran,40-49,1,Dona,Sospitós,18,2020-05-15
15/05/2020,6700,Catalunya Central,70-79,0,Home,Sospitós,11,2020-05-15
15/05/2020,6300,Terres de l'Ebre,80-89,0,Home,Sospitós,1,2020-05-15
15/05/2020,7801,Metropolità Sud,50-59,1,Dona,Positiu,3,2020-05-15
15/05/2020,6400,Girona,10-19,0,Home,Sospitós,6,2020-05-15
15/05/2020,7803,Barcelona Ciutat,70-79,1,Dona,Positiu,1,2020-05-15
15/05/2020,6100,Lleida,80-89,1,Dona,Sospitós,17,2020-05-15
15/05/2020,7801,Metropolità Sud,60-69,0,Home,Positiu,1,2020-05-15
15/05/2020,7802,Metropolità Nord,50-59,0,Home,Sospitós,39,2020-05-15
15/05/2020,7802,Metropolità Nord,50-59,1,Dona,Sospitós,85,2020-05-15
15/05/2020,6400,Girona,30-39,0,Home,Positiu,1,2020-05-15
